,symbol,x,y,z,frame
296,H,-0.873254D+01,0.178320D+02,0.392777D+02,0
297,O,-0.656858D-02,-0.808177D+01,0.652365D+01,0
298,H,-0.470039D+01,0.515780D+01,0.226010D+01,0
299,H,-0.611252D+01,-0.488393D+02,-0.302941D+02,0
300,molden,generated,tinker,.xyz,0
301,O,-0.301825D+01,0.566423D+01,0.972610D+01,0
302,H,0.597643D+01,0.143393D+02,-0.551346D+01,0
303,H,0.236151D+01,0.274619D+00,0.757661D+01,0
304,O,-0.581084D+01,-0.233031D+01,-0.217686D+01,0
305,H,-0.332031D+01,-0.120873D+02,-0.152098D+02,0
306,H,-0.936835D+01,0.871945D+01,-0.122698D+02,0
307,O,0.139924D+01,-0.190404D+01,0.119521D+01,0
308,H,0.263797D+01,0.361145D+01,-0.159181D+01,0
309,H,0.517885D+01,-0.165519D+02,0.117692D+01,0
310,O,0.399113D+01,0.367527D+01,0.900474D+00,0
311,H,0.184955D+02,-0.110018D+02,-0.460799D+01,0
312,H,0.773038D+01,0.635804D+01,-0.137504D+02,0
313,O,-0.765394D+01,-0.373782D+01,-0.294709D+00,0
314,H,-0.120280D+02,-0.110663D+01,-0.156821D+02,0
315,H,0.182698D+02,0.107273D+02,-0.671552D+01,0
316,O,-0.599961D+01,-0.321673D+01,0.132941D+01,0
317,H,0.308907D+01,0.116687D+02,-0.524048D+01,0
318,H,-0.116887D+02,-0.524385D+01,-0.172989D+02,0
319,O,0.481348D+01,0.141872D+00,-0.449534D+00,0
320,H,0.483894D+00,-0.166501D+02,-0.304075D+02,0
321,H,-0.141251D+02,-0.266732D+00,-0.941835D+01,0
322,O,-0.740231D+01,-0.729057D+01,-0.472512D+01,0
323,H,0.233007D+02,0.202202D+02,-0.154546D+02,0
324,H,-0.142008D+02,-0.184968D+01,0.151604D+01,0
325,O,-0.400125D+01,0.464171D+01,-0.589720D+01,0
326,H,0.139427D+02,0.242686D+02,0.180200D+02,0
327,H,-0.374159D+01,-0.119664D+02,0.876838D+00,0
328,O,-0.400914D-01,0.593180D+01,-0.459648D+01,0
329,H,0.916963D+01,0.599773D+02,0.327486D+01,0
330,H,-0.208682D+02,-0.265474D+02,-0.215340D+02,0
331,O,0.510152D+01,-0.466055D+01,0.313427D+01,0
332,H,0.234040D+02,-0.246958D+01,0.420043D+02,0
333,H,0.393050D+02,0.282839D+02,0.110673D+02,0
334,O,-0.329857D+01,0.454504D+00,0.748636D+01,0
335,H,0.354567D+02,-0.781790D+01,0.483196D+01,0
336,H,0.315783D+02,-0.320686D+01,0.214142D+02,0
337,O,-0.355623D+00,0.409247D+00,-0.454112D+01,0
338,H,-0.262030D+02,-0.120341D+02,-0.311007D+01,0
339,H,0.286772D+02,0.685743D+01,0.900706D+01,0
340,O,0.389555D+01,0.100308D+01,-0.329206D+01,0
341,H,-0.196047D+02,-0.106741D+02,0.751106D+01,0
342,H,-0.708691D+01,-0.300345D+02,-0.337433D+02,0
343,O,0.177842D+01,0.207773D+00,-0.174732D+00,0
344,H,-0.195898D+02,-0.237496D+02,0.194395D+02,0
345,H,0.273429D+01,-0.980757D+01,-0.817517D+01,0
346,O,-0.753866D+00,-0.373973D+01,-0.199529D+01,0
347,H,-0.269754D+01,0.140893D+02,-0.863127D+01,0
348,H,0.280670D+02,0.193174D+01,0.620243D+01,0
349,O,-0.997975D+00,-0.780793D+01,0.212892D+01,0
350,H,-0.129746D+02,0.168147D+02,0.784241D+01,0
351,H,0.120498D+02,0.131222D+02,0.126774D+02,0
352,O,0.300116D+01,-0.960441D+00,0.412858D+01,0
353,H,-0.141755D+02,0.197952D+02,0.169673D+02,0
354,H,-0.447484D+01,-0.822782D+01,-0.152480D+01,0
355,O,-0.325131D+01,0.221954D+01,-0.527241D+01,0
356,H,0.204629D+02,0.110751D+02,0.458253D+02,0
357,H,-0.118041D+02,0.500844D+02,-0.359894D+02,0
358,O,0.829192D+00,0.452597D+00,0.137429D+02,0
359,H,0.295838D+02,-0.129885D+02,-0.597775D+01,0
360,H,-0.769542D+01,0.253888D+01,0.355488D+02,0
361,O,0.159487D+00,-0.201954D+01,-0.396090D+01,0
362,H,-0.747931D+01,0.110689D+02,-0.780155D+01,0
363,H,-0.125084D+02,-0.105875D+02,0.936536D+01,0
364,O,0.662332D+00,0.608743D+01,0.409914D+01,0
365,H,-0.119024D+02,-0.938907D+01,-0.119327D+02,0
366,H,-0.343385D+01,0.246320D+02,0.802303D+01,0
367,O,-0.100515D+01,-0.439628D+01,-0.311953D+01,0
368,H,0.187467D+02,0.456336D+01,-0.188931D+02,0
369,H,-0.405739D+01,0.389851D+01,-0.129853D+01,0
370,O,-0.815261D+01,-0.795310D+00,-0.343548D+01,0
371,H,0.270488D+00,0.285579D+02,0.315419D+01,0
372,H,0.952532D+01,0.518682D+01,-0.263005D+02,0
373,O,0.385751D+00,-0.227339D+01,0.938172D+01,0
374,H,0.962640D+00,0.171065D+02,0.995326D+01,0
375,H,0.299116D+01,0.183094D+02,-0.106535D+02,0
376,O,0.117295D+01,0.763922D+01,0.420605D+01,0
377,H,-0.247316D+02,-0.174170D+02,0.857031D+01,0
378,H,-0.148166D+02,0.566282D+01,0.281066D+02,0
379,O,-0.473024D+00,-0.604149D+01,0.302592D+01,0
380,H,0.803263D+01,-0.133276D+02,0.499845D+01,0
381,H,-0.369717D+01,-0.344345D+02,-0.280232D+02,0
382,O,0.183580D+01,0.532238D+01,-0.477683D+01,0
383,H,0.981364D+01,-0.274792D+02,-0.148314D+02,0
384,H,-0.256239D+02,0.395442D+01,0.155731D+02,0
385,O,0.516100D+01,0.237725D+01,0.246345D+01,0
386,H,0.471563D+02,-0.128812D+01,0.243343D+02,0
387,H,0.703986D+01,0.833240D+01,0.120783D+02,0
388,O,0.380276D+01,0.446300D+01,-0.270451D+01,0
389,H,-0.692477D+01,0.575183D+01,0.940509D+01,0
390,H,0.286033D+02,0.190481D+02,-0.269508D+01,0
391,O,-0.686447D+01,-0.430989D+01,0.411253D+01,0
392,H,-0.148519D+02,-0.665323D+01,0.222924D+02,0
393,H,-0.920667D+00,0.562606D+01,0.711173D+01,0
394,O,-0.637191D+01,0.770662D+00,-0.350100D+01,0
395,H,-0.146931D+02,-0.149969D+02,-0.117454D+02,0
396,H,0.140321D+02,0.399488D+01,0.128193D+02,0
397,O,0.498119D+01,-0.233994D+01,-0.114454D+01,0
398,H,-0.237856D+02,0.205789D+02,-0.770185D+01,0
399,H,-0.824291D+01,0.956023D+01,0.548500D+01,0
400,O,-0.630071D+01,-0.157064D+01,-0.891938D+01,0
401,H,0.350763D+02,0.280006D+01,0.120876D+02,0
402,H,-0.104415D+02,-0.117367D+02,0.886177D+01,0
403,O,-0.182401D+01,-0.181540D+00,0.231297D+01,0
404,H,0.268502D+01,-0.540055D+01,0.895767D+01,0
405,H,0.331339D+01,0.612157D+01,-0.130420D+02,0
406,O,-0.379638D+01,0.376629D+01,0.183577D+01,0
407,H,-0.212593D+02,-0.399413D+02,0.559107D+00,0
408,H,-0.607439D+01,-0.183730D+02,0.516163D+02,0
409,O,-0.323644D+01,0.118498D+01,-0.220543D+01,0
410,H,0.116804D+02,-0.107089D+00,-0.161835D+01,0
411,H,-0.856899D+01,-0.150240D+02,-0.303541D+01,0
412,O,0.578179D+01,0.328665D+01,0.607570D+01,0
413,H,0.137654D+02,-0.202155D+02,-0.138499D+02,0
414,H,0.847762D+01,-0.684705D+00,0.126805D+02,0
415,O,-0.386554D-01,0.563919D+01,0.239685D+01,0
416,H,-0.327210D+01,0.680276D+01,-0.353078D+01,0
417,H,-0.265368D+02,0.469105D+01,0.141339D+01,0
418,O,0.118029D+01,0.131059D+01,-0.391802D+01,0
419,H,0.102103D+02,-0.198294D+02,-0.937450D+01,0
420,H,0.275659D+02,0.137358D+02,0.160152D+02,0
421,O,0.253604D+00,0.890162D+01,0.336178D+01,0
422,H,-0.436089D+02,-0.289023D+00,-0.764415D+01,0
423,H,-0.124402D+02,0.467906D+01,0.657655D+01,0
424,O,-0.676018D+00,-0.670180D+01,-0.317397D+01,0
425,H,-0.109559D+02,-0.259554D+01,-0.243144D+02,0
426,H,-0.720690D+01,-0.271402D+02,0.626916D+01,0
427,O,0.417687D+01,-0.167834D+01,-0.118660D+01,0
428,H,-0.103457D+02,0.157302D+02,-0.123977D+02,0
429,H,0.117470D+02,0.365365D+02,0.157594D+02,0
430,O,0.223625D-01,0.649076D+01,0.446436D+01,0
431,H,0.936169D+01,0.565259D+01,0.631606D+01,0
432,H,0.221582D+02,-0.105397D+02,-0.773189D+01,0
433,O,-0.538559D+00,-0.494678D+01,-0.305154D+01,0
434,H,0.847419D+01,0.405216D+02,-0.735030D+01,0
435,H,-0.102702D+02,0.240403D+01,0.579157D+01,0
436,O,0.686055D+01,-0.130363D+01,-0.655714D+00,0
437,H,0.109797D+02,0.128186D+02,0.243241D+02,0
438,H,-0.958272D+01,-0.128059D+02,-0.308709D+01,0
439,O,0.488576D+01,-0.624212D+00,0.376740D+01,0
440,H,-0.191827D+02,0.109610D+02,-0.122625D+02,0
441,H,0.291849D+02,-0.404403D+02,-0.316553D+02,0
