two,dx,dy,dz,dr,atom0,atom1,projection,bond,molecule_label0,molecule_label1
232460,-1.5699376528058,0.9422360509749979,0.19759587524800004,1.8416180764125245,590401,590467,13,True,2.0,2.0
234117,0.19266730073200122,-1.4344650478597991,-2.6727055882629998,3.0394351159113495,590464,590465,13,False,1.0,1.0
234161,-1.0299558146864998,2.5955366442429977,-0.27485969415100087,2.8059164818795863,590466,590467,13,False,2.0,2.0
235469,0.2848208203309994,-0.1788793377424014,1.8047664981944003,1.8358384542682566,590592,590656,13,True,1.0,1.0
235470,0.4451488031109996,-1.606518189603321,-0.8448374615578,1.868905692347507,590592,590657,13,True,1.0,1.0
235502,-0.5842971571520996,-1.676966096144998,0.4589009737490013,1.8341778973653569,590593,590658,13,True,2.0,2.0
235503,-1.5906740353173996,0.9508657774570004,0.16667182726000007,1.860690493170219,590593,590659,13,True,2.0,2.0
237161,0.16032798278000016,-1.4276388518609195,-2.6496039597522003,3.0140104341125977,590656,590657,13,False,1.0,1.0
237205,-1.0063768781653,2.6278318736019983,-0.2922291464890012,2.8290798240562274,590658,590659,13,False,2.0,2.0
238512,0.34348176360600036,-0.19426561212099713,1.8267804247736006,1.868915613482495,590784,590848,13,True,1.0,1.0
238513,0.45372624315400145,-1.586618807638029,-0.8166428386043991,1.8412311832904675,590784,590849,13,True,1.0,1.0
238545,-0.6133230554632005,-1.7311521387150002,0.4467642616850007,1.890145815343139,590785,590850,13,True,2.0,2.0
238546,-1.5908110959385002,0.9768340851720012,0.12215387643800035,1.8707769355120087,590785,590851,13,True,2.0,2.0
240207,0.1102444795480011,-1.3923531955170318,-2.6434232633779997,2.9897303918088154,590848,590849,13,False,1.0,1.0
240251,-0.9774880404752997,2.7079862238870014,-0.32461038524700037,2.8972476870720305,590850,590851,13,False,2.0,2.0
241557,0.4044580076039992,-0.21308721276760068,1.8686639763111996,1.9237716851339832,590976,591040,13,True,1.0,1.0
241558,0.45744351423699925,-1.56672525534848,-0.7794025762837,1.808687637593049,590976,591041,13,True,1.0,1.0
241590,-0.6168932231066,-1.7758783315469984,0.4274220723259994,1.927949876185699,590977,591042,13,True,2.0,2.0
241591,-1.5641403851261,1.0147739565880016,0.06545691865799874,1.8656328512201674,590977,591043,13,True,2.0,2.0
243253,0.05298550663300006,-1.3536380425808794,-2.6480665525948996,2.9744579138402996,591040,591041,13,False,1.0,1.0
243297,-0.9472471620195,2.790652288135,-0.36196515366800064,2.9691810574124653,591042,591043,13,False,2.0,2.0
244600,0.4584319207829992,-0.22733347024690076,1.9004892044941002,1.9681716259223703,591168,591232,13,True,1.0,1.0
244601,0.4621320818139978,-1.5709907819672217,-0.7510974558391998,1.801589710848683,591168,591233,13,True,1.0,1.0
244633,-0.5936156262004006,-1.7852641118829986,0.39709073540999995,1.9228178574673005,591169,591234,13,True,2.0,2.0
244634,-1.5162005536123004,1.0615259213510022,-0.00010123228599923095,1.8508650438976681,591169,591235,13,True,2.0,2.0
246296,0.003700161030998572,-1.343657311720321,-2.6515866603333,2.9725982708379277,591232,591233,13,False,1.0,1.0
246340,-0.9225849274118998,2.846790033234001,-0.3971919676959992,3.018797426262697,591234,591235,13,False,2.0,2.0
247642,0.4971523166460017,-0.23004360551010095,1.9029295546152998,1.9802074073720046,591360,591424,13,True,1.0,1.0
247643,0.4680975502330007,-1.6038999537163612,-0.7383742434796003,1.826692886475325,591360,591425,13,True,1.0,1.0
247675,-0.5529986665091,-1.757941699149999,0.35816975688799957,1.8773524223012676,591361,591426,13,True,2.0,2.0
247676,-1.4595003790892997,1.1154448152110028,-0.0711675710250006,1.838320786889088,591361,591427,13,True,2.0,2.0
249324,-0.029054766413000976,-1.3738563482062602,-2.6413037980949,2.977383280464324,591424,591425,13,False,1.0,1.0
249367,-0.9065017125801997,2.873386514361002,-0.42933732791300017,3.043423394298266,591426,591427,13,False,2.0,2.0
250674,0.516301840110998,-0.21645615103710014,1.8726429355718999,1.954536369467486,591552,591616,13,True,1.0,1.0
250675,0.4693872528849994,-1.6446990275141502,-0.7336901719291005,1.861091226313818,591552,591617,13,True,1.0,1.0
250707,-0.5132817829610001,-1.717359415560999,0.3173258684900002,1.820295925872651,591553,591618,13,True,2.0,2.0
250708,-1.4067692661390998,1.1729865237240027,-0.14457483432100027,1.8373347641925808,591553,591619,13,True,2.0,2.0
252354,-0.046914587225998616,-1.42824287647705,-2.6063331075010003,2.9723813617969426,591616,591617,13,False,1.0,1.0
252397,-0.8934874831780997,2.8903459392850017,-0.4619007028110005,3.0603548471696107,591618,591619,13,False,2.0,2.0
253710,0.5172173640599986,-0.18626689098089955,1.8207596432065003,1.9019397557994115,591744,591808,13,True,1.0,1.0
253711,0.45881310976199785,-1.6674350424758693,-0.7256062615392995,1.8754608866492037,591744,591809,13,True,1.0,1.0
